d000.s000.t000 bn:00106124a
d102.s062.t006 bn:00085636v
d102.s062.t007 bn:00000937n
d102.s062.t008 bn:00016777n
d102.s062.t009 bn:00083183v
d102.s062.t010 bn:00116382r
d102.s062.t011 bn:00114418r
d102.s062.t012 bn:00102336a
d102.s062.t013 bn:00074066n
d102.s062.t014 bn:00030861n
d102.s062.t015 bn:00109148a
d102.s062.t016 bn:00018819n
d102.s063.t000 bn:00100306a
d102.s063.t001 bn:00028190n
d102.s063.t002 bn:00058593n
d102.s063.t003 bn:00046516n
d102.s063.t004 bn:00057891n
d102.s063.t005 bn:00085489v
d102.s063.t006 bn:00006121n
d102.s063.t007 bn:00041942n
d102.s063.t008 bn:00086611v
d102.s063.t009 bn:00019727n
d102.s063.t010 bn:00004141n
d102.s063.t011 bn:00041942n
d102.s063.t012 bn:00041942n
d102.s064.t000 bn:00099380a
d102.s064.t001 bn:00064346n
d102.s064.t002 bn:00116286r
d102.s064.t003 bn:00117179r
d102.s064.t004 bn:00086612v
d102.s064.t005 bn:00115155r
d102.s064.t006 bn:00085373v
d102.s064.t007 bn:00098274a
d102.s065.t000 bn:00083185v
d102.s065.t001 bn:00106408a
d102.s065.t002 bn:00050802n
d102.s065.t003 bn:00111312a
d102.s065.t004 bn:00064862n
d102.s065.t005 bn:00063683n
d102.s065.t006 bn:00097099a
d102.s065.t007 bn:00019727n
d102.s065.t008 bn:00115888r
d102.s065.t009 bn:00091866v
d102.s065.t010 bn:00001533n
d102.s065.t011 bn:00116360r
d102.s065.t012 bn:00115235r
d102.s065.t013 bn:00100196a
d102.s065.t014 bn:00047690n
d102.s065.t015 bn:00114117r
d102.s065.t016 bn:00114047r
d102.s065.t017 bn:00087106v
d102.s065.t018 bn:00019727n
d102.s066.t000 bn:00070609n
d102.s066.t001 bn:00006121n
d102.s066.t002 bn:00114694r
d102.s066.t003 bn:00116326r
d102.s066.t004 bn:00092023v
d102.s066.t005 bn:00064245n
d102.s066.t006 bn:00106700a
d102.s066.t007 bn:00113602a
d102.s066.t008 bn:00030861n
d102.s067.t000 bn:00083185v
d102.s067.t001 bn:00117043r
d102.s067.t002 bn:00106995a
d102.s067.t003 bn:00047077n
d102.s067.t004 bn:00087778v
d102.s067.t005 bn:00100361a
d102.s067.t006 bn:00079764n
d102.s067.t007 bn:00085714v
d102.s067.t008 bn:00041942n
d102.s067.t009 bn:00020977n
d102.s067.t010 bn:00115226r
d102.s067.t011 bn:00087106v
d102.s067.t012 bn:00097099a
d102.s067.t013 bn:00024459n
d102.s067.t014 bn:00041942n
d102.s067.t015 bn:00024459n
d102.s067.t016 bn:00099380a
d102.s067.t017 bn:00064346n
d102.s068.t000 bn:00099380a
d102.s068.t001 bn:00064346n
d102.s068.t002 bn:00115452r
d102.s068.t003 bn:00082691v
d102.s068.t004 bn:00076429n
d102.s068.t005 bn:00117070r
d102.s068.t006 bn:00086931v
d102.s068.t007 bn:00099655a
d102.s068.t008 bn:00032768n
d102.s068.t009 bn:00102336a
d102.s068.t010 bn:00035732n
d102.s068.t011 bn:00109148a
d102.s068.t012 bn:00019727n
d102.s069.t000 bn:00107627a
d102.s069.t001 bn:00032099n
d102.s069.t002 bn:00083182v
d102.s069.t003 bn:00027544n
d102.s069.t004 bn:00099655a
d102.s069.t005 bn:00047016n
d102.s069.t006 bn:00099380a
d102.s069.t007 bn:00005399n
d102.s069.t008 bn:00051631n
d102.s069.t009 bn:00046516n
d102.s069.t010 bn:00097099a
d102.s069.t011 bn:00005399n
d102.s069.t012 bn:00051760n
d102.s069.t013 bn:00046516n
d102.s069.t014 bn:00097376a
d102.s069.t015 bn:00005399n
d102.s069.t016 bn:00051760n
d102.s070.t000 bn:00103672a
d102.s070.t001 bn:00033960n
d102.s070.t002 bn:00083184v
d102.s070.t003 bn:00095950a
d102.s070.t004 bn:00104680a
d102.s070.t005 bn:00018819n
d102.s070.t006 bn:00034390n
d102.s070.t007 bn:00083181v
d102.s070.t008 bn:00116382r
d102.s070.t009 bn:00030861n
d102.s071.t000 bn:00031788n
d102.s071.t001 bn:00053664n
d102.s071.t002 bn:00020978n
d102.s071.t003 bn:00094855v
d102.s071.t004 bn:00110470a
d102.s071.t005 bn:00019848n
d102.s071.t006 bn:00014710n
d102.s072.t000 bn:00083181v
d102.s072.t001 bn:00105276a
d102.s072.t002 bn:00091096v
d102.s072.t003 bn:00041942n
d102.s072.t004 bn:00076373n
d102.s072.t005 bn:00034471n
d102.s072.t006 bn:00018845n
d102.s072.t007 bn:00083182v
d102.s073.t000 bn:00114869r
d102.s073.t001 bn:00100713a
d102.s073.t002 bn:00032021n
d102.s073.t003 bn:00115127r
d102.s073.t004 bn:00095465v
d102.s073.t005 bn:00112043a
d102.s073.t006 bn:00035908n
d102.s073.t007 bn:00102248a
d102.s073.t008 bn:00044267n
d102.s073.t009 bn:00083182v
d102.s073.t010 bn:00103344a
d102.s073.t011 bn:00080111n
d102.s073.t012 bn:00088817v
d102.s073.t013 bn:00046516n
d102.s073.t014 bn:00117251r
d102.s073.t015 bn:00097099a
d102.s073.t016 bn:00005399n
d102.s073.t017 bn:00051760n
d102.s073.t018 bn:00079639n
d102.s073.t019 bn:00105739a
d102.s073.t020 bn:00025645n
d102.s074.t000 bn:00083182v
d102.s074.t001 bn:00103006a
d102.s074.t002 bn:00019848n
d102.s074.t003 bn:00102248a
d102.s074.t004 bn:00005457n
d102.s074.t005 bn:00087106v
d102.s074.t006 bn:00095922a
d102.s074.t007 bn:00017234n
d102.s075.t000 bn:00102248a
d102.s075.t001 bn:00016776n
d102.s075.t002 bn:00092421v
d102.s075.t003 bn:00032021n
d102.s075.t004 bn:00106826a
d102.s075.t005 bn:00102543a
d102.s075.t006 bn:00044737n
d102.s076.t000 bn:00114079r
d102.s076.t001 bn:00082233v
d102.s076.t002 bn:00088086v
d102.s076.t003 bn:00099380a
d102.s076.t004 bn:00044737n
d102.s076.t005 bn:00030861n
d102.s076.t006 bn:00074057n
d102.s076.t007 bn:00104888a
d102.s076.t008 bn:00058285n
d102.s076.t009 bn:00022366n
d102.s076.t010 bn:00047475n
d102.s076.t011 bn:00099380a
d102.s076.t012 bn:00046019n
d102.s076.t013 bn:00047028n
d102.s076.t014 bn:00109148a
d102.s076.t015 bn:00024459n
d102.s076.t016 bn:00051760n
d102.s076.t017 bn:00091137v
d102.s076.t018 bn:00082537v
d102.s076.t019 bn:00099380a
d102.s076.t020 bn:00064346n
d102.s076.t021 bn:00091922v
d102.s076.t022 bn:00003281n
d102.s076.t023 bn:00000739n
d102.s076.t024 bn:00099380a
d102.s076.t025 bn:00058313n
d102.s076.t026 bn:00092857v
d102.s076.t027 bn:00089791v
d102.s076.t028 bn:00057891n
d102.s076.t029 bn:00042323n
d102.s076.t030 bn:00045952n
d102.s076.t031 bn:00095887a
d102.s076.t032 bn:00043325n
d102.s076.t033 bn:00111157a
d102.s076.t034 bn:00074033n
d102.s076.t035 bn:00102408a
d102.s076.t036 bn:00061617n
d102.s076.t037 bn:00016776n
d102.s076.t038 bn:00108977a
d102.s076.t039 bn:00075761n
d102.s076.t040 bn:00083181v
d102.s076.t041 bn:00117138r
d102.s076.t042 bn:00104745a
d102.s076.t043 bn:00083187v
d102.s076.t044 bn:00114079r
d102.s076.t045 bn:00058990n
d102.s076.t046 bn:00041942n
d102.s076.t047 bn:00103451a
d102.s076.t048 bn:00037677n
d102.s076.t049 bn:00000739n
d102.s076.t050 bn:00109148a
d102.s076.t051 bn:00019727n
d102.s076.t052 bn:00049707n
d102.s076.t053 bn:00082907v
d102.s076.t054 bn:00113674a
d102.s076.t055 bn:00053664n
d102.s076.t056 bn:00091137v
d102.s076.t057 bn:00099655a
d102.s076.t058 bn:00047016n
d102.s076.t059 bn:00016777n
d102.s076.t060 bn:00051760n
d102.s076.t061 bn:00018819n
d102.s076.t062 bn:00059005n
d102.s076.t063 bn:00058606n
d103.s000.t000 bn:00046516n
d103.s000.t001 bn:00088825v
d103.s000.t002 bn:00049706n
d103.s000.t003 bn:00020706n
d103.s001.t000 bn:00089105v
d103.s001.t001 bn:00064624n
d103.s001.t002 bn:00088762v
d103.s001.t003 bn:00094984v
d103.s001.t004 bn:00020706n
d103.s001.t005 bn:00027354n bn:00027352n
d103.s001.t006 bn:00092036v
d103.s001.t007 bn:00096707a
d103.s001.t008 bn:00020039n
d103.s001.t009 bn:00072175n
d103.s001.t010 bn:00088411v
d103.s001.t011 bn:00114090r
d103.s001.t012 bn:00094943v
d103.s001.t013 bn:00020706n
d103.s001.t014 bn:00009823n
d103.s002.t000 bn:00045234n
d103.s002.t001 bn:00020706n
d103.s002.t002 bn:00116360r
d103.s002.t003 bn:00085356v
d103.s002.t004 bn:00093430v
d103.s002.t005 bn:00042833n
d103.s002.t006 bn:00083991v
d103.s002.t007 bn:00051290n
d103.s003.t000 bn:00085719v
d103.s003.t001 bn:00020602n
d103.s003.t002 bn:00095593v
d103.s003.t003 bn:00115755r
d103.s003.t004 bn:00084317v
d103.s003.t005 bn:00102938a
d103.s003.t006 bn:00018756n
d103.s004.t000 bn:00046516n
d103.s005.t000 bn:00071803n
d103.s006.t000 bn:00084061v
d103.s006.t001 bn:00022525n
d103.s006.t002 bn:00021287n
d103.s006.t003 bn:00092859v
d103.s006.t004 bn:00105739a
d103.s006.t005 bn:00096044a
d103.s006.t006 bn:00014710n
d103.s007.t000 bn:00105739a
d103.s007.t001 bn:00096044a
d103.s007.t002 bn:00014710n
d103.s007.t003 bn:00071803n
d103.s008.t000 bn:00089277v
d103.s009.t000 bn:00027728n
d103.s009.t001 bn:00085714v
d103.s009.t002 bn:00115639r
d103.s010.t000 bn:00089154v
d103.s011.t000 bn:00088746v
d103.s012.t000 bn:00083181v
d103.s012.t001 bn:00100889a
d103.s012.t002 bn:00044415n
d103.s012.t003 bn:00046516n
d103.s013.t000 bn:00083293v
d103.s013.t001 bn:00099057a
d103.s014.t000 bn:00071803n
d103.s015.t000 bn:00046516n
d103.s015.t001 bn:00088939v
d103.s015.t002 bn:00020602n
d103.s016.t000 bn:00093430v
d103.s016.t001 bn:00098857a
d103.s016.t002 bn:00077657n
d103.s016.t003 bn:00089584v
d103.s016.t004 bn:00067959n
d103.s017.t000 bn:00088869v
d103.s017.t001 bn:00114473r
d103.s018.t000 bn:00020706n
d103.s018.t001 bn:00083405v
d103.s018.t002 bn:00117237r
d103.s018.t003 bn:00035592n
d103.s018.t004 bn:00116246r
d103.s018.t005 bn:00084314v
d103.s018.t006 bn:00077117n
d103.s019.t000 bn:00002195n
d103.s019.t001 bn:00083181v
d103.s019.t002 bn:00106214a
d103.s019.t003 bn:00022071n
d103.s019.t004 bn:00104050a
d103.s019.t005 bn:00077260n
d103.s019.t006 bn:00100577a
d103.s019.t007 bn:00029425n
d103.s020.t000 bn:00094275v
d103.s020.t001 bn:00096029a
d103.s020.t002 bn:00035746n
d103.s020.t003 bn:00029745n
d103.s020.t004 bn:00008363n
d103.s021.t000 bn:00032429n
d103.s021.t001 bn:00082690v
d103.s021.t002 bn:00116348r
d103.s021.t003 bn:00106935a
d103.s021.t004 bn:00106206a
d103.s021.t005 bn:00028908n
d103.s021.t006 bn:00008127n
d103.s021.t007 bn:00100902a
d103.s021.t008 bn:00028934n
d103.s022.t000 bn:00100721a
d103.s022.t001 bn:00049652n
d103.s022.t002 bn:00087905v
d103.s022.t003 bn:00113923a
d103.s022.t004 bn:00035304n
d103.s023.t000 bn:00095950a
d103.s023.t001 bn:00072190n
d103.s023.t002 bn:00087587v
d103.s023.t003 bn:00009668n
d103.s023.t004 bn:00088428v
d103.s023.t005 bn:00067948n
d103.s024.t000 bn:00062699n
d103.s024.t001 bn:00093930v
d103.s024.t002 bn:00117157r
d103.s024.t003 bn:00109430a
d103.s024.t004 bn:00102905a
d103.s024.t005 bn:00029425n
d103.s024.t006 bn:00081492n
d103.s024.t007 bn:00061253n
d103.s025.t000 bn:00011639n
d103.s025.t001 bn:00035304n
d103.s025.t002 bn:00093877v
d103.s025.t003 bn:00046516n
d103.s025.t004 bn:00012166n
d103.s026.t000 bn:00114406r
d103.s026.t001 bn:00102872a
d103.s026.t002 bn:00054972n
d103.s026.t003 bn:00101000a
d103.s026.t004 bn:00115216r
d103.s026.t005 bn:00088643v
d103.s026.t006 bn:00015211n
d103.s027.t000 bn:00083184v
d103.s027.t001 bn:00062699n
d103.s027.t002 bn:00093776v
d103.s027.t003 bn:00046516n
d103.s027.t004 bn:00095597v
d103.s027.t005 bn:00115161r
d103.s027.t006 bn:00049652n
d103.s027.t007 bn:00081285n
d103.s027.t008 bn:00072190n
d103.s027.t009 bn:00114472r
d103.s027.t010 bn:00083405v
d103.s027.t011 bn:00116286r
d103.s027.t012 bn:00082959v
d103.s027.t013 bn:00094453v
d103.s027.t014 bn:00015784n
d103.s027.t015 bn:00104050a
d103.s027.t016 bn:00009314n
d103.s028.t000 bn:00022733n
d103.s028.t001 bn:00083185v
d103.s028.t002 bn:00072698n
d103.s028.t003 bn:00034969n
d103.s029.t000 bn:00094275v
d103.s029.t001 bn:00117137r
d103.s029.t002 bn:00102362a
d103.s029.t003 bn:00085207v
d103.s029.t004 bn:00073802n
d103.s029.t005 bn:00011744n
d103.s029.t006 bn:00103878a
d103.s029.t007 bn:00100181a
d103.s029.t008 bn:00106008a
d103.s029.t009 bn:00019980n
d103.s030.t000 bn:00046516n
d103.s030.t001 bn:00114504r
d103.s030.t002 bn:00090448v
d103.s031.t000 bn:00001533n
d103.s031.t001 bn:00082788v
d103.s031.t002 bn:00088343v
d103.s031.t003 bn:00103068a
d103.s031.t004 bn:00008576n
d103.s031.t005 bn:00100203a
d103.s031.t006 bn:00046942n
d103.s031.t007 bn:00083885v
d103.s031.t008 bn:00034969n
d103.s032.t000 bn:00046516n
d103.s032.t001 bn:00089238v
d103.s032.t002 bn:00071431n
d103.s032.t003 bn:00092756v
d103.s032.t004 bn:00110624a
d103.s032.t005 bn:00085906v
d103.s033.t000 bn:00054972n
d103.s033.t001 bn:00073698n
d103.s033.t002 bn:00053096n
d103.s033.t003 bn:00095593v
d103.s033.t004 bn:00008363n
d103.s034.t000 bn:00001533n
d103.s034.t001 bn:00011674n
d103.s034.t002 bn:00083340v
d103.s034.t003 bn:00084388v
d103.s034.t004 bn:00114585r
d103.s034.t005 bn:00103006a
d103.s034.t006 bn:00071507n
d103.s034.t007 bn:00054972n
d103.s034.t008 bn:00095950a
d103.s034.t009 bn:00084385v
d103.s034.t010 bn:00046516n
d103.s035.t000 bn:00011674n
d103.s035.t001 bn:00082348v
d103.s035.t002 bn:00113737a
d103.s035.t003 bn:00095950a
d103.s035.t004 bn:00104411a
d103.s035.t005 bn:00001533n
d103.s035.t006 bn:00084110v
d103.s035.t007 bn:00083231v
d103.s035.t008 bn:00072698n
d103.s036.t000 bn:00046516n
d103.s036.t001 bn:00082965v
d103.s036.t002 bn:00063904n
d103.s036.t003 bn:00085567v
d103.s036.t004 bn:00002195n
d103.s037.t000 bn:00054972n
d103.s037.t001 bn:00093287v
d103.s037.t002 bn:00051508n
d103.s037.t003 bn:00082812v
d103.s038.t000 bn:00046516n
d103.s038.t001 bn:00088816v
d103.s038.t002 bn:00056758n
d103.s038.t003 bn:00082818v
d103.s038.t004 bn:00068792n
d103.s038.t005 bn:00060871n
d103.s039.t000 bn:00054972n
d103.s039.t001 bn:00111523a
d103.s039.t002 bn:00093287v
d103.s039.t003 bn:00082813v
d103.s040.t000 bn:00046516n
d103.s040.t001 bn:00091072v
d103.s040.t002 bn:00114090r
d103.s040.t003 bn:00090707v
d103.s040.t004 bn:00082812v
d103.s040.t005 bn:00051508n
d103.s040.t006 bn:00114165r
d103.s041.t000 bn:00091519v
d103.s041.t001 bn:00025233n
d103.s041.t002 bn:00013848n
d103.s042.t000 bn:00001533n
d103.s042.t001 bn:00084073v
d103.s042.t002 bn:00067948n
d103.s042.t003 bn:00094275v
d103.s042.t004 bn:00083406v
d103.s043.t000 bn:00086682v
d103.s043.t001 bn:00021395n
d103.s043.t002 bn:00030581n
d103.s043.t003 bn:00032126n
d103.s043.t004 bn:00054299n
d103.s043.t005 bn:00048468n
d103.s043.t006 bn:00041465n
d103.s043.t007 bn:00108011a
d103.s043.t008 bn:00001533n
d103.s043.t009 bn:00087864v
d103.s044.t000 bn:00086683v
d103.s044.t001 bn:00083181v
d103.s044.t002 bn:00096869a
d103.s044.t003 bn:00002195n
d103.s044.t004 bn:00072698n
d103.s044.t005 bn:00088421v
d103.s045.t000 bn:00046516n
d103.s045.t001 bn:00114671r
d103.s045.t002 bn:00086205v
d103.s045.t003 bn:00001533n
d103.s045.t004 bn:00116360r
d103.s045.t005 bn:00086592v
d103.s045.t006 bn:00064201n
d103.s046.t000 bn:00116211r
d103.s046.t001 bn:00083181v
d103.s046.t002 bn:00098275a
d103.s046.t003 bn:00056538n
d103.s046.t004 bn:00116360r
d103.s046.t005 bn:00087847v
d103.s046.t006 bn:00003882n
d103.s047.t000 bn:00046516n
d103.s047.t001 bn:00088869v
d103.s047.t002 bn:00114610r
d103.s047.t003 bn:00093430v
d103.s047.t004 bn:00114626r
d103.s047.t005 bn:00011744n
d103.s047.t006 bn:00114594r
d103.s047.t007 bn:00102362a
d103.s047.t008 bn:00101802a
d103.s047.t009 bn:00008424n
d103.s048.t000 bn:00083181v
d103.s048.t001 bn:00115274r
d103.s048.t002 bn:00106124a
d103.s049.t000 bn:00060871n
d103.s049.t001 bn:00082740v
d103.s049.t002 bn:00083190v
d103.s049.t003 bn:00000105n
d103.s050.t000 bn:00072698n
d103.s050.t001 bn:00082646v
d103.s050.t002 bn:00100783a
d103.s050.t003 bn:00101874a
d103.s050.t004 bn:00062019n
d103.s050.t005 bn:00051440n
d103.s050.t006 bn:00114504r
d103.s050.t007 bn:00087012v
d103.s051.t000 bn:00046516n
d103.s051.t001 bn:00083406v
d103.s051.t002 bn:00116360r
d103.s051.t003 bn:00093430v
d103.s051.t004 bn:00001533n
d103.s051.t005 bn:00006140n
d103.s051.t006 bn:00084180v
d103.s051.t007 bn:00011744n
d103.s051.t008 bn:00087361v
d103.s052.t000 bn:00071803n
d103.s053.t000 bn:00082269v
d103.s053.t001 bn:00001533n
d103.s054.t000 bn:00101973a
d103.s054.t001 bn:00084733v
d103.s054.t002 bn:00116381r
d103.s054.t003 bn:00046516n
d103.s054.t004 bn:00086370v
d103.s055.t000 bn:00098979a
d103.s055.t001 bn:00003882n
d103.s055.t002 bn:00022733n
d103.s055.t003 bn:00116353r
d103.s055.t004 bn:00083624v
d103.s055.t005 bn:00045800n
d103.s056.t000 bn:00091369v
d103.s056.t001 bn:00115161r
d103.s056.t002 bn:00083405v
d103.s056.t003 bn:00088705v
d103.s056.t004 bn:00100892a
d103.s056.t005 bn:00110756a
d103.s056.t006 bn:00035304n
d103.s057.t000 bn:00082844v
d103.s057.t001 bn:00091194v
d103.s057.t002 bn:00081546n
d103.s057.t003 bn:00095975a
d103.s057.t004 bn:00102872a
d103.s057.t005 bn:00054972n
d103.s057.t006 bn:00090460v
d103.s057.t007 bn:00086008v
d103.s057.t008 bn:00099970a
d103.s057.t009 bn:00063683n
d103.s057.t010 bn:00100948a
d103.s057.t011 bn:00012569n
d103.s058.t000 bn:00088622v
d103.s058.t001 bn:00114582r
d103.s059.t000 bn:00025913n
d103.s059.t001 bn:00075024n
d103.s059.t002 bn:00117128r
d103.s059.t003 bn:00087465v
d103.s059.t004 bn:00047077n
d103.s060.t000 bn:00084710v
d103.s060.t001 bn:00091369v
d103.s060.t002 bn:00090262v
d103.s060.t003 bn:00099742a
d103.s060.t004 bn:00111933a
d103.s060.t005 bn:00080386n
d103.s060.t006 bn:00082536v
d103.s060.t007 bn:00012681n
d103.s060.t008 bn:00087308v
d103.s061.t000 bn:00033960n
d103.s061.t001 bn:00036938n
d103.s061.t002 bn:00030830n
d103.s061.t003 bn:00012681n
d103.s061.t004 bn:00103782a
d103.s061.t005 bn:00033794n
d103.s061.t006 bn:00115253r
d103.s061.t007 bn:00087862v
d103.s061.t008 bn:00091157v
d103.s062.t000 bn:00087106v
d103.s062.t001 bn:00083405v
d103.s062.t002 bn:00111934a
d103.s062.t003 bn:00016896n
d103.s062.t004 bn:00104880a
d103.s062.t005 bn:00008363n
d103.s062.t006 bn:00067948n
d103.s063.t000 bn:00085906v
d103.s063.t001 bn:00100902a
d103.s063.t002 bn:00011766n
d103.s063.t003 bn:00084073v
d103.s063.t004 bn:00041942n
d103.s063.t005 bn:00109533a
d103.s063.t006 bn:00072698n
d103.s063.t007 bn:00090525v
d103.s063.t008 bn:00102912a
d103.s063.t009 bn:00044410n
d103.s064.t000 bn:00089082v
d103.s064.t001 bn:00097145a
d103.s064.t002 bn:00111523a
d103.s064.t003 bn:00030581n
d103.s065.t000 bn:00083181v
d103.s065.t001 bn:00100303a
d103.s065.t002 bn:00070497n
d103.s065.t003 bn:00000505n
d103.s066.t000 bn:00046516n
d103.s066.t001 bn:00095858v
d103.s067.t000 bn:00067181n
d103.s067.t001 bn:00107770a
d103.s067.t002 bn:00115216r
d103.s068.t000 bn:00088954v
d103.s068.t001 bn:00082225v
d103.s068.t002 bn:00115639r
d103.s069.t000 bn:00046516n
d103.s069.t001 bn:00087644v
d103.s069.t002 bn:00116360r
d103.s069.t003 bn:00088939v
d103.s069.t004 bn:00102778a
d103.s069.t005 bn:00008363n
d103.s070.t000 bn:00089779v
d103.s070.t001 bn:00103831a
d103.s070.t002 bn:00046197n
d103.s070.t003 bn:00086996v
d103.s070.t004 bn:00059303n
d103.s070.t005 bn:00001533n
d103.s070.t006 bn:00087736v
d103.s072.t000 bn:00093287v
d103.s072.t001 bn:00046516n
d103.s072.t002 bn:00086933v
d103.s073.t000 bn:00003882n
d103.s073.t001 bn:00022733n
d103.s073.t002 bn:00083364v
d103.s073.t003 bn:00114243r
d103.s073.t004 bn:00098116a
d103.s073.t005 bn:00106033a
d103.s073.t006 bn:00031493n
d103.s074.t000 bn:00046516n
d103.s074.t001 bn:00089503v
d103.s074.t002 bn:00114281r
d103.s074.t003 bn:00087901v
d103.s074.t004 bn:00114242r
d103.s075.t000 bn:00115267r
d103.s076.t000 bn:00072698n
d103.s076.t001 bn:00062019n
d103.s076.t002 bn:00083181v
d103.s076.t003 bn:00101874a
d103.s076.t004 bn:00114171r
d103.s076.t005 bn:00096609a
d103.s076.t006 bn:00017483n
d103.s077.t000 bn:00085207v
d103.s077.t001 bn:00073802n
d103.s077.t002 bn:00100902a
d103.s077.t003 bn:00032512n
d103.s077.t004 bn:00083610v
d103.s077.t005 bn:00114316r
d103.s078.t000 bn:00087817v
d103.s078.t001 bn:00071803n
d103.s079.t000 bn:00082536v
d103.s079.t001 bn:00087845v
d103.s079.t002 bn:00115639r
d103.s080.t000 bn:00046516n
d103.s080.t001 bn:00093170v
d103.s080.t002 bn:00049652n
d103.s080.t003 bn:00094275v
d103.s080.t004 bn:00068672n
d103.s080.t005 bn:00094567v
d103.s080.t006 bn:00100441a
d103.s080.t007 bn:00002185n
d103.s080.t008 bn:00093930v
d103.s080.t009 bn:00019625n
d103.s080.t010 bn:00067948n
d103.s080.t011 bn:00080809n
d103.s081.t000 bn:00050521n
d103.s081.t001 bn:00095950a
d103.s081.t002 bn:00071961n
d103.s081.t003 bn:00086590v
d103.s081.t004 bn:00096404a
d103.s081.t005 bn:00012468n
d103.s081.t006 bn:00110858a
d103.s081.t007 bn:00008363n
d103.s082.t000 bn:00103068a
d103.s082.t001 bn:00011674n
d103.s082.t002 bn:00094655v
d103.s082.t003 bn:00115161r
d103.s082.t004 bn:00065159n
d103.s082.t005 bn:00024511n
d103.s083.t000 bn:00072698n
d103.s083.t001 bn:00089385v
d103.s083.t002 bn:00030718n
d103.s083.t003 bn:00103295a
d103.s083.t004 bn:00068266n
d103.s084.t000 bn:00095975a
d103.s084.t001 bn:00102872a
d103.s084.t002 bn:00042043n
d103.s084.t003 bn:00082691v
d103.s084.t004 bn:00084555v
d103.s084.t005 bn:00067785n
d103.s084.t006 bn:00066385n
d103.s085.t000 bn:00046516n
d103.s085.t001 bn:00088705v
d103.s085.t002 bn:00114904r
d103.s086.t000 bn:00083181v
d103.s086.t001 bn:00042833n
d103.s086.t002 bn:00113786a
d103.s086.t003 bn:00099798a
d103.s086.t004 bn:00107177a
d103.s086.t005 bn:00079079n
d103.s086.t006 bn:00103971a
d103.s086.t007 bn:00012166n
d103.s087.t000 bn:00093399v
d103.s087.t001 bn:00106125a
d103.s087.t002 bn:00020822n
d103.s087.t003 bn:00113737a
d103.s087.t004 bn:00111671a
d103.s087.t005 bn:00042833n
d103.s088.t000 bn:00105821a
d103.s088.t001 bn:00103765a
d103.s088.t002 bn:00003882n
d103.s088.t003 bn:00092333v
d103.s088.t004 bn:00103822a
d103.s088.t005 bn:00084709v
d103.s088.t006 bn:00014793n
d103.s088.t007 bn:00010649n
d103.s088.t008 bn:00010605n
d103.s088.t009 bn:00035287n
d103.s089.t000 bn:00088912v
d103.s089.t001 bn:00071961n
d103.s089.t002 bn:00106266a
d103.s089.t003 bn:00007474n
d103.s089.t004 bn:00087515v
d103.s089.t005 bn:00093679v
d103.s090.t000 bn:00096001a
d103.s090.t001 bn:00042833n
d103.s090.t002 bn:00085278v
d103.s090.t003 bn:00116360r
d103.s090.t004 bn:00082844v
d103.s090.t005 bn:00082759v
d103.s091.t000 bn:00085991v
d103.s091.t001 bn:00115109r
d103.s091.t002 bn:00098654a
d103.s091.t003 bn:00046303n
d103.s091.t004 bn:00095593v
d103.s091.t005 bn:00011674n
d103.s092.t000 bn:00102872a
d103.s092.t001 bn:00072698n
d103.s092.t002 bn:00089069v
d103.s092.t003 bn:00005793n
d103.s092.t004 bn:00093535v
d103.s092.t005 bn:00104025a
d103.s092.t006 bn:00097291a
d103.s092.t007 bn:00007048n
d103.s092.t008 bn:00095665v
d103.s092.t009 bn:00102875a
d103.s092.t010 bn:00011660n
d103.s092.t011 bn:00071961n
d103.s093.t000 bn:00085991v
d103.s093.t001 bn:00042833n
d103.s093.t002 bn:00082844v
d103.s093.t003 bn:00082759v
d103.s093.t004 bn:00085356v
d103.s093.t005 bn:00114171r
d103.s094.t000 bn:00088912v
d103.s095.t000 bn:00046516n
d103.s095.t001 bn:00095665v
d103.s095.t002 bn:00000075n
d103.s095.t003 bn:00088343v
d103.s095.t004 bn:00110501a
d103.s095.t005 bn:00011766n
d103.s095.t006 bn:00090400v
d103.s095.t007 bn:00062019n
d103.s095.t008 bn:00083331v
d103.s095.t009 bn:00116607r
d103.s096.t000 bn:00098916a
d103.s096.t001 bn:00027665n
d103.s096.t002 bn:00011744n
d103.s096.t003 bn:00084110v
d103.s096.t004 bn:00005702n
d103.s096.t005 bn:00095950a
d103.s096.t006 bn:00001533n
d103.s096.t007 bn:00084601v
d103.s096.t008 bn:00110075a
d103.s096.t009 bn:00071961n
d103.s097.t000 bn:00096000a
d103.s097.t001 bn:00085991v
d103.s097.t002 bn:00001533n
d103.s097.t003 bn:00088456v
d103.s097.t004 bn:00102362a
d103.s098.t000 bn:00094655v
d103.s098.t001 bn:00028913n
d103.s098.t002 bn:00005702n
d103.s098.t003 bn:00090783v
d103.s098.t004 bn:00110767a
d103.s098.t005 bn:00019169n
d103.s099.t000 bn:00091369v
d103.s099.t001 bn:00115431r
d103.s099.t002 bn:00115317r
d103.s099.t003 bn:00082613v
d103.s099.t004 bn:00115274r
d103.s099.t005 bn:00115323r
d103.s099.t006 bn:00114473r
d103.s099.t007 bn:00015784n
d103.s099.t008 bn:00082613v
d103.s099.t009 bn:00114903r
d103.s100.t000 bn:00074192n
d103.s100.t001 bn:00083181v
d103.s100.t002 bn:00110562a
d103.s100.t003 bn:00015784n
d103.s100.t004 bn:00094941v
d103.s100.t005 bn:00001551n
